Temp__Tcover,Temp__Tair,Temp__Tfloor,Temp__Tsoil,QT__QT,QT__Qfog,QS__QS_f_abs,QS__QS_i_abs,QS__QS_c_abs,QS__R_int,QS__QS_tot,Gas__air_speed,Gas__C_w,Gas__C_c,Gas__rho_i,Gas__C_c_ppm,Gas__HRInt,Gas__C_w_sat_T_c,Gas__C_w_sat_T_f,Gas__Xh,Gas__p_a,Gas__Xh_sat,Gas__C_ce,Windows__value,Windows__AR,Screen__gamma_max,Screen__value,Screen__beta,Fog,CO2,Carbon__Cbuff,Carbon__Cfruit,Carbon__Cleaf,Carbon__Cstem,Relative__Rfruit,Relative__Rleaf,Relative__Rstem,Tsum,C_Total,WC,LAI,WaterPercent,CC,VPD,HeatVars__Tveg,HeatVars__TvegMean,HeatVars__QV,HeatVars__QT,HeatVars__QS,MC_gro__MC_buf_fruit,MC_gro__MC_buf_leaf,MC_gro__MC_buf_stem,A_v,plants_density,Water__WaterFlows__WaterDemand,Water__WaterFlows__WaterUptake,Water__WaterFlows__MW_QT,Water__WaterState__VegWater,Nutrients__Mass__1,Nutrients__Mass__2,Nutrients__Mass__3,Nutrients__Mass__4,Nutrients__Mass__5,Nutrients__Mass__6,Nutrients__Mass__7,Nutrients__Mass__8,Nutrients__Demand__1,Nutrients__Demand__2,Nutrients__Demand__3,Nutrients__Demand__4,Nutrients__Demand__5,Nutrients__Demand__6,Nutrients__Demand__7,Nutrients__Demand__8,FruitRip,SusWater__V0,SusWater__V1,SusWater__V2,SusWater__VT,Drainge__f,Drainge__T,Uptake__Water,Drainge__X__1,Drainge__X__2,Drainge__X__3,Drainge__X__4,Drainge__X__5,Drainge__X__6,Drainge__X__7,Drainge__X__8,Mass__1,Mass__2,Mass__3,Mass__4,Mass__5,Mass__6,Mass__7,Mass__8,Uptake__Nutrients__1,Uptake__Nutrients__2,Uptake__Nutrients__3,Uptake__Nutrients__4,Uptake__Nutrients__5,Uptake__Nutrients__6,Uptake__Nutrients__7,Uptake__Nutrients__8,DateTime
288,288,288,288,378.459703248985,0,0,0,0,0,0,0.5,0.05,0.0007,1.19633249138,376.043794310329,46.3348333656243,0.107910175494652,0.107910175494652,0.0470116614089475,94648.8,0.111194902871673,0.000753198370308681,0,10,0.3,0,0.1,0,0,0.01,0.001,0.01,0.01,0,0,0,0,0.031,0.4565,0.266,0.438116100766703,8.26069276358773e-05,6451.58995253867,288,288,0,378.459703248985,0,5.48836718839164e-10,5.24254655774461e-08,4.08366784498001e-08,2080,2.1562,0.001168375,0.001168375,7.46621995930102e-08,0.2,0,0,0,0,0,0,0,0,3.276e-07,2.184e-07,1.092e-07,4.41e-08,4.41e-08,2.1e-08,0,0,0.001,0.1,0.1,0.1,0.3,0.0005,283.15,0.001168375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63799998362e-07,1.09199998908e-07,5.4599999454e-08,2.20499997795e-08,2.20499997795e-08,1.0499999895e-08,0,0,15-Feb-2018 01:00:00
285.360334405509,286.942250729597,287.994526730063,287.948083179147,2895.50881990675,0,0,0,0,0,0,0.5,0.0509547485420411,0.000704209977676333,1.2002716860088,376.91599945154,49.523220040258,0.095744858590106,0.107883691395055,0.0478444236850391,94546.6901189008,0.104829094921181,0.000753211598007007,0,10,0.3,100,0.1,0,0,0.0099274858942839,0.00100032112059798,0.0100306396152031,0.0100244331166514,5.41113297109804e-08,5.37023836099258e-07,5.35557801039267e-08,0.103119542720076,0.0309828797467364,0.456303117087468,0.266815013764402,0.867143312805869,8.70067799492847e-05,5855.77926822548,287.061038976129,287.997266791007,2544.77767835104,2895.50881990675,0,5.53469035187928e-10,5.23714082421963e-08,4.07945706307635e-08,2080,2.1562,0.000189038823187569,0,5.71223450156788e-07,0.395680196595581,8.4947489617085e-05,5.66340605992102e-05,2.83182308038399e-05,1.14364976353979e-05,1.14364976353979e-05,5.44600009588797e-06,0,0,2.43516654481174e-07,1.62342035466296e-07,8.1169817228913e-08,3.27798294547523e-08,3.27798294547523e-08,1.56093937565645e-08,0,0,0.001,0.000434660969568783,0.0014789369085444,0.00241790344134002,0.0043315013194532,1.20895172067001e-05,283.15,0,-0.00499760564244762,-0.0033318886022848,-0.00166602006053971,-0.000672834033889003,-0.000672834033889003,-0.000320400241230398,0,0,-2.16462736136849e-05,-1.44315052979348e-05,-7.21608078489053e-06,-2.91426547445897e-06,-2.91426547445897e-06,-1.38775881408461e-06,0,0,1.21731969982448e-07,8.11593027661087e-08,4.05819795799003e-08,1.63894369196581e-08,1.63894369196581e-08,7.80458849027625e-09,0,0,15-Feb-2018 01:09:59
285.14414362186,286.30084585023,287.979479199506,287.89930538435,2410.85831106944,0,0,0,0,0,0,0.5,0.051725872364036,0.000708028909966001,1.20255920267057,378.112914328362,51.7559895158488,0.0948010210864561,0.107810907019616,0.0485560106334843,94459.8134691036,0.101180236973628,0.000753224826170625,0,10,0.3,100,0.1,0,0,0.00985513935507231,0.00100064434793218,0.0100611997498429,0.0100488079089484,5.47983008701669e-08,5.39703880773451e-07,5.36769056078159e-08,0.206195631477019,0.0309657913617958,0.456106600660652,0.267627913345822,0.866829462186298,8.67368347924807e-05,5390.15752573079,286.306068061319,287.987840677231,112.19838608491,2410.85831106944,0,5.56508076257411e-10,5.21845962727645e-08,4.0649053938785e-08,2080,2.1562,0.000189673155654756,0,4.7561202121726e-07,0.395366639496668,0.000148152681859781,9.87736396442157e-05,4.9389412519799e-05,1.99463485215673e-05,1.99463485215673e-05,9.49836668083827e-06,0,0,1.81173489445106e-07,1.20777141225709e-07,6.03859779151632e-08,2.43860206925521e-08,2.43860206925521e-08,1.16122853258852e-08,0,0,0.001,2.05612474297905e-05,0.000135305335564092,0.000436003074502585,0.000591869657496468,2.18001537251293e-06,283.15,0,-0.0479918080017133,-0.0319965098215685,-0.0159992405438165,-0.00646146906388945,-0.00646146906388945,-0.00307693012904284,0,0,-2.80555878216153e-05,-1.87048795419484e-05,-9.35301696781549e-06,-3.77731889807037e-06,-3.77731889807037e-06,-1.79874676696742e-06,0,0,9.05613230617471e-08,6.03772716828168e-08,3.01901640209313e-08,1.21925495446538e-08,1.21925495446538e-08,5.8060381419502e-09,0,0,15-Feb-2018 01:20:00
285.080648758334,286.025766288397,287.959432677456,287.853068447477,2212.90767458392,0,0,0,0,0,0,0.5,0.0523375347957588,0.00071151610179333,1.2033723415953,379.610120218332,53.027487895981,0.0945252829013637,0.107714005685669,0.0491662992659094,94385.5773865419,0.0996997694525323,0.000753238054798765,0,10,0.3,100,0.1,0,0,0.00978310276640522,0.00100096908038396,0.0100916204990293,0.0100730765032735,5.54347811252878e-08,5.41805797274492e-07,5.37409496516684e-08,0.309192393655408,0.030948768849092,0.455910841764557,0.268437105274179,0.866605049405927,8.63521104104549e-05,5156.80145149512,285.974378713782,287.974892731536,-1107.5707778412,2212.90767458392,0,5.58953728002802e-10,5.19270298921973e-08,4.04484232844484e-08,2080,2.1562,0.000190103309568889,0,4.36560492602805e-07,0.395094637762552,0.000195202330430468,0.00013014085572842,6.50734123512862e-05,2.62803658433006e-05,2.62803658433006e-05,1.25145813405828e-05,0,0,1.34982060459445e-07,8.99820715315221e-08,4.49880512786848e-08,1.81675329303415e-08,1.81675329303415e-08,8.65108474210395e-09,0,0,0.001,1.04848710356735e-06,1.00015308095874e-05,4.71624187379015e-05,5.82124366510563e-05,2.35812093689507e-07,283.15,0,-0.345922422997384,-0.230619860395365,-0.115312385552158,-0.0465690544339415,-0.0465690544339415,-0.0221758400663659,0,0,-1.96170291122522e-05,-1.30783055718369e-05,-6.53929583940508e-06,-2.64090390883767e-06,-2.64090390883767e-06,-1.25757910800441e-06,0,0,6.74777818680135e-08,4.4985147716048e-08,2.24925535797187e-08,9.08352633663616e-09,9.08352633663616e-09,4.32548789799055e-09,0,0,15-Feb-2018 01:29:59
285.066819570366,285.898899685909,287.936745370972,287.80898747751,2121.61742429681,0,0,0,0,0,0,0.5,0.0528159262060546,0.000714721551826808,1.20362817365325,381.151172401155,53.8224098410275,0.0944653153339107,0.107604425644891,0.0496619457302108,94325.4707731809,0.0990557234871842,0.000753251283889941,0,10,0.3,100,0.1,0,0,0.00971144133139312,0.00100129511482507,0.0101218739121204,0.010097216882983,5.60607650955283e-08,5.43733577407512e-07,5.37884770388422e-08,0.412093711142537,0.0309318272413216,0.455716013275199,0.269241846062403,0.866413921016686,8.59179896368219e-05,5028.5696016819,285.824717504086,287.960468719767,-1603.64576874773,2121.61742429681,0,5.61222228091431e-10,5.16388173003776e-08,4.02239208445046e-08,2080,2.1562,0.000190457573283813,0,4.18550831787351e-07,0.394838697954676,0.000230324997412573,0.000153555520606831,7.67805214629004e-05,3.10081830431892e-05,3.10081830431892e-05,1.47659137740709e-05,0,0,1.00713022782311e-07,6.71364928564256e-08,3.35654852687279e-08,1.35546273676607e-08,1.35546273676607e-08,6.45447213585762e-09,0,0,0.001,4.80930862862024e-08,6.14527375094368e-07,3.88726606114876e-06,4.54988652252933e-06,1.94363303057438e-08,283.15,0,-3.00833878173074,-2.00551779262128,-1.00273818999317,-0.404946974528265,-0.404946974528265,-0.192831049863269,0,0,-1.36372122174582e-05,-9.09128770896395e-06,-4.54555026363291e-06,-1.83568045106818e-06,-1.83568045106818e-06,-8.74129738874901e-07,0,0,5.03496432147964e-08,3.35651941073292e-08,1.67819795486958e-08,6.77718919810624e-09,6.77718919810624e-09,3.22720782358301e-09,0,0,15-Feb-2018 01:39:59
285.081610802311,285.838731558255,287.912439509853,287.766857121277,2075.98583718612,0,0,0,0,0,0,0.5,0.0531789379889319,0.000717681073167637,1.2036664875211,382.648890671233,54.3412575758033,0.0945294625196191,0.107487133644332,0.0500460054368156,94279.0118665001,0.0987735127872617,0.000753260628436968,0,10,0.3,100,0.1,0,0,0.00964019892272372,0.00100162242813855,0.0101519409154369,0.0101212141628674,5.6686539989664e-08,5.45588653259524e-07,5.38297250896047e-08,0.514888996694259,0.0309149764291666,0.455522228935416,0.270041628350622,0.866237982826885,8.54610699697419e-05,4952.46812008342,285.754484789911,287.945410893476,-1826.65126127883,2075.98583718612,0,5.63418673215697e-10,5.13364644358126e-08,3.99884038763172e-08,2080,2.1562,0.000190777294030094,0,4.09548672150919e-07,0.394590658682626,0.000256387904216386,0.000170929941193426,8.54673063795825e-05,3.45162052965832e-05,3.45162052965832e-05,1.64363832535308e-05,0,0,7.5498624884122e-08,5.03277448735793e-08,2.51615366539203e-08,1.01608274669468e-08,1.01608274669468e-08,4.83839425291203e-09,0,0,0.001,2.45306350568703e-09,3.88740130005255e-08,3.05591390724178e-07,3.46918467230391e-07,1.52795695362089e-09,283.15,0,-24.656840064857,-16.4371074323299,-8.21816067966209,-3.31877794459651,-3.31877794459651,-1.58035445776764,0,0,-9.79077820427457e-06,-6.52686101255315e-06,-3.2632682532783e-06,-1.31781926520949e-06,-1.31781926520949e-06,-6.2752638170576e-07,0,0,3.7745602289484e-08,2.5162223630703e-08,1.25803561211584e-08,5.08034648153508e-09,5.08034648153508e-09,2.41918186437018e-09,0,0,15-Feb-2018 01:50:00
285.119972723012,285.813798748765,287.887146142984,287.726476842871,2053.05519123607,0,0,0,0,0,0,0.5,0.0534614204836576,0.000720459594251114,1.20360169711548,384.096796965586,54.6921485016078,0.0946960024070411,0.10736519475245,0.0503498266764685,94242.3331451553,0.0986779446710391,0.000753194307706482,0,10,0.3,100,0.1,0,0,0.00956940036496411,0.00100195102143022,0.0101818106926041,0.0101450599111969,5.73168241633874e-08,5.47416096349998e-07,5.38692351835102e-08,0.617572641067984,0.0308982219901954,0.455329552887247,0.270836164423269,0.866067905866454,8.49951129831582e-05,4904.74467574996,285.723421924714,287.930152499375,-1965.39585822642,2053.05519123607,0,5.65589900030943e-10,5.10285345751375e-08,3.9748542721686e-08,2080,2.1562,0.000191083776199873,0,4.05024934352623e-07,0.39434632000291,0.000275907894034277,0.000183942405735206,9.19731076192646e-05,3.71434443261654e-05,3.71434443261654e-05,1.76874319221159e-05,0,0,5.68217233193311e-08,3.78773391671989e-08,1.89367648319379e-08,7.64708108682022e-09,7.64708108682022e-09,3.64138970311532e-09,0,0,0.001,-1.37169330759872e-09,-1.8157120309492e-08,-1.15411447540924e-07,-1.34940261158014e-07,-5.77057237704618e-10,283.15,0,18.3292754185178,12.2185026841015,6.10874419983495,2.46687074980039,2.46687074980039,1.17467972546561,0,0,-7.31179701890778e-06,-4.8741918532889e-06,-2.43692617024467e-06,-9.84102389230155e-07,-9.84102389230155e-07,-4.68613279027566e-07,0,0,2.84087299549113e-08,1.89377222547404e-08,9.46814557606182e-09,3.82350189784431e-09,3.82350189784431e-09,1.82068607916414e-09,0,0,15-Feb-2018 02:00:00
285.178219839993,285.812577840827,287.861269097925,287.687580655985,2042.03767461016,0,0,0,0,0,0,0.5,0.0537422221735325,0.000723180356815541,1.20343537506161,385.545704374447,54.9823628585683,0.0949494033716155,0.107240559905588,0.0506571606587763,94205.2925990576,0.0987160468885995,0.000752837092074543,0,10,0.3,100,0.1,0,0,0.00949901975309115,0.00100228080916844,0.0102114948069074,0.0101687629783091,5.79542240550409e-08,5.49245166963128e-07,5.39098357531885e-08,0.720151661680786,0.0308815583474761,0.455137920995975,0.271625761863738,0.865899578940005,8.45271109682532e-05,4869.46127068456,285.717593134604,287.914903053109,-2071.62920616335,2042.03767461016,0,5.67766054899274e-10,5.07193563520628e-08,3.95077091584489e-08,2080,2.1562,0.000191386392298579,0,4.02851408298775e-07,0.394103746486461,0.000290819007286087,0.000193882368981232,9.69426997748037e-05,3.91503012368717e-05,3.91503012368717e-05,1.86430622260398e-05,0,0,4.27485947863181e-08,2.8496032400371e-08,1.4246500915998e-08,5.7530298113367e-09,5.7530298113367e-09,2.73947636834516e-09,0,0,0.001,-9.82634369572198e-10,-1.43795469493461e-08,-1.03458783713471e-07,-1.1882096503239e-07,-5.17293918567357e-10,283.15,0,80.4817964114576,53.6497425466952,26.8224771143936,10.8315778180467,10.8315778180467,5.15779680441243,-0,-0,-5.43591085928368e-06,-3.62363637999986e-06,-1.8116660928897e-06,-7.31597765199775e-07,-7.31597765199775e-07,-3.48373700711523e-07,0,0,2.13730935668691e-08,1.42474812195126e-08,7.12311670239439e-09,2.87649307653712e-09,2.87649307653712e-09,1.36973322727846e-09,0,0,15-Feb-2018 02:10:00
285.256578589451,285.831235587389,287.835063558266,287.649976682402,2039.32153549933,0,0,0,0,0,0,0.5,0.0540475377986666,0.000725877774498277,1.20316810038115,387.009078287854,55.247545654025,0.0952911918203854,0.107114455353597,0.0509960690304222,94164.519418895,0.0988706252374476,0.000752396857714778,0,10,0.3,100,0.1,0,0,0.00942902967807544,0.00100261172730858,0.0102410054188415,0.0101923327120552,5.86006464919237e-08,5.51097137251666e-07,5.3953540305948e-08,0.822633288730002,0.0308649795362807,0.454947264667228,0.272410744141184,0.86573095584172,8.40612632427786e-05,4841.19506163684,285.732044443847,287.899783459924,-2169.62105772179,2039.32153549933,0,5.69969117400468e-10,5.04115179270082e-08,3.92679192273537e-08,2080,2.1562,0.000191689793352059,0,4.02315570748109e-07,0.393861942763455,0.000302307396486181,0.000201540619056108,0.000100771486789651,4.06964607674886e-05,4.06964607674886e-05,1.9379314918603e-05,0,0,3.20934213018209e-08,2.13932594692268e-08,1.06954524730164e-08,4.31903393474246e-09,4.31903393474246e-09,2.05663493960224e-09,0,0,0.001,4.15727636770601e-11,-2.03762273461176e-10,-7.78106000780364e-09,-7.94324951758775e-09,-3.89053000390182e-11,283.15,0,37.080897688486,24.7185011892324,12.3582019440687,4.99055985025345,4.99055985025345,2.37641441057004,-0,-0,-4.06262475844975e-06,-2.7081626786982e-06,-1.35395443047179e-06,-5.46758736070527e-07,-5.46758736070527e-07,-2.60356140355462e-07,0,0,1.60460410621184e-08,1.06963321643647e-08,5.34765183231229e-09,2.15950482125791e-09,2.15950482125791e-09,1.02831471031223e-09,0,0,15-Feb-2018 02:20:00
285.35312116111,285.86642806697,287.80868160547,287.613467790244,2042.6453609494,0,0,0,0,0,0,0.5,0.0543869694036642,0.00072856806973482,1.2028084794246,388.49120968427,55.5054888996828,0.0957132767093773,0.106987602950953,0.0513764647355809,94118.8244006574,0.0991245519005426,0.000751957046556513,0,10,0.3,100,0.1,0,0,0.00935938533521122,0.0010029436555094,0.0102703624214155,0.0102157844032322,5.92563737039024e-08,5.52980992614533e-07,5.40011197897542e-08,0.925028892482787,0.0308484758153683,0.454757471876736,0.273191640409652,0.865561072687133,8.35994915550314e-05,4816.97761573922,285.762930220293,287.884843067827,-2270.21351306533,2042.6453609494,0,5.72208095113048e-10,5.01062023742344e-08,3.90300944809826e-08,2080,2.1562,0.000191996159971623,0,4.02971292128839e-07,0.393620366288574,0.000311222527023234,0.000207483465444804,0.00010374262301354,4.18962736174172e-05,4.18962736174172e-05,1.99506426975522e-05,0,0,2.40072844672165e-08,1.60030755488293e-08,8.00064748327703e-09,3.23081639091273e-09,3.23081639091273e-09,1.5384477826049e-09,0,0,0.001,2.97375023973686e-10,4.18273820012367e-09,2.85796598282896e-08,3.30597730523869e-08,1.42898299141448e-10,283.15,0,-95.4423771935786,-63.6219282122683,-31.8078026885429,-12.8446976919721,-12.8446976919721,-6.11639411198593,0,0,-3.07353907810139e-06,-2.0488225542889e-06,-1.02430953488025e-06,-4.13638972356025e-07,-4.13638972356025e-07,-1.96966800595822e-07,0,0,1.2003272309585e-08,8.00137337167883e-09,4.00028262960529e-09,1.61540148163534e-09,1.61540148163534e-09,7.6922236493253e-10,0,0,15-Feb-2018 02:30:00
